operation	tier	backend	client	server	corpus
AbortMultipartUpload	core	covered	covered	covered	covered
CompleteMultipartUpload	core	covered	covered	covered	covered
CopyObject	core	covered	covered	covered	covered
CreateBucket	core	covered	covered	covered	covered
CreateBucketMetadataConfiguration	extended	missing	partial	missing	missing
CreateBucketMetadataTableConfiguration	extended	missing	covered	missing	covered
CreateMultipartUpload	core	covered	covered	covered	covered
CreateSession	extended	missing	covered	missing	covered
DeleteBucket	core	covered	covered	covered	covered
DeleteBucketAnalyticsConfiguration	extended	missing	covered	missing	covered
DeleteBucketCors	extended	covered	covered	covered	covered
DeleteBucketEncryption	extended	missing	covered	missing	covered
DeleteBucketIntelligentTieringConfiguration	extended	missing	covered	missing	covered
DeleteBucketInventoryConfiguration	extended	missing	covered	missing	covered
DeleteBucketLifecycle	extended	missing	covered	missing	covered
DeleteBucketMetadataConfiguration	extended	missing	covered	missing	covered
DeleteBucketMetadataTableConfiguration	extended	missing	covered	missing	covered
DeleteBucketMetricsConfiguration	extended	missing	covered	missing	covered
DeleteBucketOwnershipControls	extended	missing	covered	missing	covered
DeleteBucketPolicy	extended	covered	covered	covered	covered
DeleteBucketReplication	extended	missing	covered	missing	covered
DeleteBucketTagging	extended	covered	covered	covered	covered
DeleteBucketWebsite	extended	missing	covered	missing	covered
DeleteObject	core	covered	covered	covered	covered
DeleteObjectAnnotation	extended	missing	covered	missing	covered
DeleteObjectTagging	core	covered	covered	covered	covered
DeleteObjects	core	covered	covered	covered	covered
DeletePublicAccessBlock	extended	covered	covered	covered	covered
GetBucketAbac	extended	missing	covered	missing	covered
GetBucketAccelerateConfiguration	extended	missing	covered	missing	covered
GetBucketAcl	extended	missing	covered	covered	covered
GetBucketAnalyticsConfiguration	extended	missing	covered	missing	covered
GetBucketCors	extended	covered	covered	covered	covered
GetBucketEncryption	extended	missing	covered	missing	covered
GetBucketIntelligentTieringConfiguration	extended	missing	covered	missing	covered
GetBucketInventoryConfiguration	extended	missing	covered	missing	covered
GetBucketLifecycle	extended	missing	partial	missing	missing
GetBucketLifecycleConfiguration	extended	missing	covered	missing	covered
GetBucketLocation	core	covered	covered	covered	covered
GetBucketLogging	extended	missing	covered	missing	covered
GetBucketMetadataConfiguration	extended	missing	covered	missing	covered
GetBucketMetadataTableConfiguration	extended	missing	covered	missing	covered
GetBucketMetricsConfiguration	extended	missing	covered	missing	covered
GetBucketNotification	extended	missing	partial	missing	missing
GetBucketNotificationConfiguration	extended	missing	covered	missing	covered
GetBucketOwnershipControls	extended	missing	covered	missing	covered
GetBucketPolicy	extended	covered	covered	covered	covered
GetBucketPolicyStatus	extended	missing	covered	missing	covered
GetBucketReplication	extended	missing	covered	missing	covered
GetBucketRequestPayment	extended	missing	covered	missing	covered
GetBucketTagging	core	covered	covered	covered	covered
GetBucketVersioning	core	covered	covered	covered	covered
GetBucketWebsite	extended	missing	covered	missing	covered
GetObject	core	covered	covered	covered	covered
GetObjectAcl	extended	missing	covered	covered	covered
GetObjectAnnotation	extended	missing	partial	missing	missing
GetObjectAttributes	core	covered	covered	covered	covered
GetObjectLegalHold	extended	missing	covered	missing	covered
GetObjectLockConfiguration	extended	missing	covered	missing	covered
GetObjectRetention	extended	missing	covered	missing	covered
GetObjectTagging	core	covered	covered	covered	covered
GetObjectTorrent	extended	missing	covered	missing	covered
GetPublicAccessBlock	extended	covered	covered	covered	covered
HeadBucket	core	covered	covered	covered	covered
HeadObject	core	covered	covered	covered	covered
ListBucketAnalyticsConfigurations	extended	missing	covered	missing	covered
ListBucketIntelligentTieringConfigurations	extended	missing	covered	missing	covered
ListBucketInventoryConfigurations	extended	missing	covered	missing	covered
ListBucketMetricsConfigurations	extended	missing	covered	missing	covered
